Track,Album Name,Explicit Track,Release Date,Artist,artist_id,track_id
Mi Gente,Mi Gente,0,2017-06-30,J Balvin,183,256
Late Night Talking,Harry'S House,0,2022-05-20,Harry Styles,19,257
Miss You,Miss You,1,2022-08-05,Oliver Tree,184,258
Girls Like Me Don'T Cry,Girls Like Me Don'T Cry,0,2022-10-06,Thï¿½Ï,185,259
Yummy Fruits And Vegetables,Yummy Fruits And Vegetables,0,2020-10-20,D Billions,186,260
Dakiti,Dakiti,1,2020-01-01,Bad Bunny,56,261
Starboy,Starboy,1,2016-09-22,The Weeknd,49,262
Sorry,Sorry,0,2015-10-23,Justin Bieber,116,263
Calling My Phone,Calling My Phone,1,2021-02-12,Lil Tjay,187,264
Pink Venom,Pink Venom,0,2022-08-19,Blackpink,156,265
I Can Do It With A Broken Heart,The Tortured Poets Department,1,2024-04-18,Taylor Swift,17,266
Death Bed (Coffee For Your Head),"Some Boring, Love Stories, Pt. 2",0,2019-02-09,Powfu,188,267
Too Many Nights (Feat. Don Toliver & With Future),Heroes & Villains,1,2022-12-02,Metro Boomin,50,268
Meltdown (Feat. Drake),Meltdown (Feat. Drake),1,2023-07-27,Travis Scott,94,269
California Gurls,Girl Power 2023,0,2023-09-19,Katy Perry,189,270
Moscow Mule,Un Verano Sin Ti,1,2022-05-06,Bad Bunny,56,271
Something Just Like This,Something Just Like This,0,2017-02-22,The Chainsmokers,131,272
7 Rings,7 Rings,1,2019-01-18,Ariana Grande,27,273
Moonlight,Moonlight,0,2023-02-24,Kali Uchis,190,274
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),1,2020-06-11,Jawsh 685,67,275
Bidi Bidi Bom Bom (Remasterizado 2024/30Th Anniversary),Amor Prohibido (Remasterizado 2024/30Th Anniversary),0,2024-03-22,Selena,191,276
God'S Plan,Diplomatic Immunity,1,2018-01-20,Drake,120,277
Sunroof,Sunroof,0,2021-11-26,Nicky Youre,192,278
La Vï¿½Ï¿½C,La Vï¿½Ï¿½C,1,2023-08-19,Xavi,79,279
